feature
fruit
dominant_hue_1
dominant_hue_2
Saturation_1
Saturation_2
Value_1
Value_2
Angular Second Moment
Contrast
Correlation
Sum Average
Information Measure of Correlation 1
Compacidad
Excentricidad
hu1
hu2
hu3
hu5
hu6
hu7
